iteration,latency_ns,latency_ms,precision,threads,kernels
432,1104288,1.104288,double,1,10
433,1106335,1.106335,double,1,10
434,1114271,1.114271,double,1,10
435,1104548,1.104548,double,1,10
436,1103135,1.103135,double,1,10
437,1115223,1.115223,double,1,10
438,1107215,1.107215,double,1,10
439,1109530,1.10953,double,1,10
440,1104462,1.104462,double,1,10
441,1109689,1.109689,double,1,10
442,1110336,1.110336,double,1,10
443,1106454,1.106454,double,1,10
444,1112632,1.112632,double,1,10
445,1107376,1.107376,double,1,10
446,1107729,1.107729,double,1,10
447,1104452,1.104452,double,1,10
448,1111301,1.111301,double,1,10
449,1103261,1.103261,double,1,10
450,1123325,1.123325,double,1,10
451,1110084,1.110084,double,1,10
452,1108445,1.108445,double,1,10
453,1108085,1.108085,double,1,10
454,1104493,1.104493,double,1,10
455,1104244,1.104244,double,1,10
456,1106915,1.106915,double,1,10
457,1102961,1.102961,double,1,10
458,1104636,1.104636,double,1,10
459,1112833,1.112833,double,1,10
460,1103021,1.103021,double,1,10
461,1111320,1.11132,double,1,10
462,1103845,1.103845,double,1,10
463,1109248,1.109248,double,1,10
464,1104081,1.104081,double,1,10
465,1103695,1.103695,double,1,10
466,1117587,1.117587,double,1,10
467,1103535,1.103535,double,1,10
468,1104073,1.104073,double,1,10
469,1106812,1.106812,double,1,10
470,1106330,1.10633,double,1,10
471,1105817,1.105817,double,1,10
472,1108107,1.108107,double,1,10
473,1108725,1.108725,double,1,10
474,1106149,1.106149,double,1,10
475,1107034,1.107034,double,1,10
476,1106153,1.106153,double,1,10
477,1139878,1.139878,double,1,10
478,1121899,1.121899,double,1,10
479,1129143,1.129143,double,1,10
480,1112190,1.11219,double,1,10
481,1121656,1.121656,double,1,10
482,1111189,1.111189,double,1,10
483,1115211,1.115211,double,1,10
484,1115354,1.115354,double,1,10
485,1115110,1.11511,double,1,10
486,1119807,1.119807,double,1,10
487,1121612,1.121612,double,1,10
488,1124665,1.124665,double,1,10
489,1110154,1.110154,double,1,10
490,1120969,1.120969,double,1,10
491,1111138,1.111138,double,1,10
492,1112688,1.112688,double,1,10
493,1111075,1.111075,double,1,10
494,1117640,1.11764,double,1,10
495,1112216,1.112216,double,1,10
496,1121922,1.121922,double,1,10
497,1119520,1.11952,double,1,10
498,1113758,1.113758,double,1,10
499,1113979,1.113979,double,1,10
500,1119902,1.119902,double,1,10
501,1112362,1.112362,double,1,10
502,1113497,1.113497,double,1,10
