iteration,latency_ns,latency_ms,precision,threads,kernels
483,868024,0.868024,double,2,10
484,871942,0.871942,double,2,10
485,868523,0.868523,double,2,10
486,865779,0.865779,double,2,10
487,876413,0.876413,double,2,10
488,865999,0.865999,double,2,10
489,863378,0.863378,double,2,10
490,866688,0.866688,double,2,10
491,867305,0.867305,double,2,10
492,866516,0.866516,double,2,10
493,879396,0.879396,double,2,10
494,867807,0.867807,double,2,10
495,886468,0.886468,double,2,10
496,890190,0.89019,double,2,10
497,886687,0.886687,double,2,10
498,876871,0.876871,double,2,10
499,875462,0.875462,double,2,10
500,890744,0.890744,double,2,10
501,894169,0.894169,double,2,10
502,892391,0.892391,double,2,10
503,867930,0.86793,double,2,10
504,867032,0.867032,double,2,10
505,864559,0.864559,double,2,10
506,864828,0.864828,double,2,10
507,868771,0.868771,double,2,10
508,868553,0.868553,double,2,10
509,868985,0.868985,double,2,10
510,864013,0.864013,double,2,10
511,868565,0.868565,double,2,10
512,871013,0.871013,double,2,10
513,867529,0.867529,double,2,10
514,877856,0.877856,double,2,10
515,873260,0.87326,double,2,10
516,867721,0.867721,double,2,10
517,898347,0.898347,double,2,10
518,890350,0.89035,double,2,10
519,894351,0.894351,double,2,10
520,866807,0.866807,double,2,10
521,863865,0.863865,double,2,10
522,870821,0.870821,double,2,10
523,865186,0.865186,double,2,10
524,867849,0.867849,double,2,10
525,867886,0.867886,double,2,10
526,867256,0.867256,double,2,10
527,878845,0.878845,double,2,10
528,883240,0.88324,double,2,10
529,888134,0.888134,double,2,10
530,892504,0.892504,double,2,10
531,896246,0.896246,double,2,10
532,865159,0.865159,double,2,10
533,866183,0.866183,double,2,10
534,877757,0.877757,double,2,10
535,865309,0.865309,double,2,10
536,865567,0.865567,double,2,10
537,864792,0.864792,double,2,10
538,870491,0.870491,double,2,10
539,870983,0.870983,double,2,10
540,867368,0.867368,double,2,10
541,906039,0.906039,double,2,10
542,894793,0.894793,double,2,10
543,887292,0.887292,double,2,10
544,869039,0.869039,double,2,10
545,867239,0.867239,double,2,10
546,868749,0.868749,double,2,10
547,867559,0.867559,double,2,10
548,866279,0.866279,double,2,10
549,865711,0.865711,double,2,10
550,862878,0.862878,double,2,10
551,865950,0.86595,double,2,10
552,866399,0.866399,double,2,10
553,863843,0.863843,double,2,10
554,868062,0.868062,double,2,10
555,866558,0.866558,double,2,10
556,870402,0.870402,double,2,10
557,866243,0.866243,double,2,10
558,867658,0.867658,double,2,10
559,865749,0.865749,double,2,10
560,878320,0.87832,double,2,10
561,859259,0.859259,double,2,10
562,866338,0.866338,double,2,10
563,866254,0.866254,double,2,10
564,870495,0.870495,double,2,10
565,868174,0.868174,double,2,10
566,866892,0.866892,double,2,10
567,869559,0.869559,double,2,10
568,865190,0.86519,double,2,10
569,866722,0.866722,double,2,10
570,867600,0.8676,double,2,10
571,868304,0.868304,double,2,10
572,867160,0.86716,double,2,10
573,867919,0.867919,double,2,10
574,865841,0.865841,double,2,10
575,872220,0.87222,double,2,10
576,864204,0.864204,double,2,10
577,869372,0.869372,double,2,10
578,871109,0.871109,double,2,10
579,868236,0.868236,double,2,10
580,869813,0.869813,double,2,10
581,864989,0.864989,double,2,10
582,873244,0.873244,double,2,10
583,876289,0.876289,double,2,10
584,886985,0.886985,double,2,10
585,893868,0.893868,double,2,10
586,903148,0.903148,double,2,10
587,893206,0.893206,double,2,10
588,890903,0.890903,double,2,10
589,878665,0.878665,double,2,10
590,868382,0.868382,double,2,10
591,866790,0.86679,double,2,10
592,867519,0.867519,double,2,10
593,862598,0.862598,double,2,10
594,865739,0.865739,double,2,10
595,867933,0.867933,double,2,10
596,868568,0.868568,double,2,10
597,866821,0.866821,double,2,10
598,867098,0.867098,double,2,10
599,873242,0.873242,double,2,10
600,864191,0.864191,double,2,10
601,904730,0.90473,double,2,10
602,894568,0.894568,double,2,10
603,892129,0.892129,double,2,10
604,892930,0.89293,double,2,10
605,898261,0.898261,double,2,10
606,865001,0.865001,double,2,10
607,869066,0.869066,double,2,10
608,886287,0.886287,double,2,10
609,877483,0.877483,double,2,10
610,877544,0.877544,double,2,10
611,869872,0.869872,double,2,10
612,866484,0.866484,double,2,10
