iteration,latency_ns,latency_ms,precision,threads,kernels
304,1098756,1.098756,double,1,10
305,1101203,1.101203,double,1,10
306,1096027,1.096027,double,1,10
307,1098501,1.098501,double,1,10
308,1096169,1.096169,double,1,10
309,1096113,1.096113,double,1,10
310,1098674,1.098674,double,1,10
311,1097215,1.097215,double,1,10
312,1100033,1.100033,double,1,10
313,1101887,1.101887,double,1,10
314,1105584,1.105584,double,1,10
315,1099147,1.099147,double,1,10
316,1099684,1.099684,double,1,10
317,1095836,1.095836,double,1,10
318,1098657,1.098657,double,1,10
319,1096562,1.096562,double,1,10
320,1098080,1.09808,double,1,10
321,1096473,1.096473,double,1,10
322,1097436,1.097436,double,1,10
323,1098431,1.098431,double,1,10
324,1096432,1.096432,double,1,10
325,1101072,1.101072,double,1,10
326,1096708,1.096708,double,1,10
327,1108010,1.10801,double,1,10
328,1095882,1.095882,double,1,10
329,1103345,1.103345,double,1,10
330,1100549,1.100549,double,1,10
331,1101915,1.101915,double,1,10
332,1095819,1.095819,double,1,10
333,1100048,1.100048,double,1,10
334,1096380,1.09638,double,1,10
335,1101448,1.101448,double,1,10
336,1096257,1.096257,double,1,10
337,1128776,1.128776,double,1,10
338,1104635,1.104635,double,1,10
339,1096643,1.096643,double,1,10
340,1101734,1.101734,double,1,10
341,1096248,1.096248,double,1,10
342,1098855,1.098855,double,1,10
343,1095947,1.095947,double,1,10
344,1102485,1.102485,double,1,10
345,1108522,1.108522,double,1,10
346,1100767,1.100767,double,1,10
347,1096222,1.096222,double,1,10
348,1100124,1.100124,double,1,10
349,1104118,1.104118,double,1,10
350,1100252,1.100252,double,1,10
351,1096918,1.096918,double,1,10
352,1107789,1.107789,double,1,10
353,1095790,1.09579,double,1,10
354,1101252,1.101252,double,1,10
355,1095802,1.095802,double,1,10
356,1102792,1.102792,double,1,10
357,1096694,1.096694,double,1,10
358,1097234,1.097234,double,1,10
359,1099596,1.099596,double,1,10
360,1096032,1.096032,double,1,10
361,1109631,1.109631,double,1,10
362,1095818,1.095818,double,1,10
363,1095551,1.095551,double,1,10
364,1102238,1.102238,double,1,10
365,1124789,1.124789,double,1,10
366,1125134,1.125134,double,1,10
367,1102787,1.102787,double,1,10
368,1107049,1.107049,double,1,10
369,1096492,1.096492,double,1,10
370,1096690,1.09669,double,1,10
371,1098983,1.098983,double,1,10
372,1096795,1.096795,double,1,10
373,1098967,1.098967,double,1,10
374,1098645,1.098645,double,1,10
375,1099626,1.099626,double,1,10
376,1097139,1.097139,double,1,10
377,1099495,1.099495,double,1,10
378,1106177,1.106177,double,1,10
379,1101249,1.101249,double,1,10
380,1096582,1.096582,double,1,10
381,1102037,1.102037,double,1,10
382,1100096,1.100096,double,1,10
383,1101464,1.101464,double,1,10
384,1103249,1.103249,double,1,10
385,1096523,1.096523,double,1,10
386,1103414,1.103414,double,1,10
387,1100014,1.100014,double,1,10
388,1096358,1.096358,double,1,10
389,1096739,1.096739,double,1,10
390,1098779,1.098779,double,1,10
391,1104399,1.104399,double,1,10
392,1101020,1.10102,double,1,10
393,1097390,1.09739,double,1,10
394,1099201,1.099201,double,1,10
395,1096891,1.096891,double,1,10
396,1099925,1.099925,double,1,10
397,1096553,1.096553,double,1,10
398,1095944,1.095944,double,1,10
399,1100057,1.100057,double,1,10
400,1096520,1.09652,double,1,10
401,1099536,1.099536,double,1,10
402,1096515,1.096515,double,1,10
403,1099084,1.099084,double,1,10
404,1108649,1.108649,double,1,10
405,1102217,1.102217,double,1,10
406,1096403,1.096403,double,1,10
407,1098881,1.098881,double,1,10
408,1096517,1.096517,double,1,10
409,1095779,1.095779,double,1,10
410,1099135,1.099135,double,1,10
411,1110610,1.11061,double,1,10
