iteration,latency_ns,latency_ms,precision,threads,scope
137,15766414,15.7664,double_intermediate,1,plan+SOCS+FI+output_formation
138,15746882,15.7469,double_intermediate,1,plan+SOCS+FI+output_formation
139,15808340,15.8083,double_intermediate,1,plan+SOCS+FI+output_formation
140,16461858,16.4619,double_intermediate,1,plan+SOCS+FI+output_formation
141,15673348,15.6733,double_intermediate,1,plan+SOCS+FI+output_formation
142,16633024,16.633,double_intermediate,1,plan+SOCS+FI+output_formation
143,16075309,16.0753,double_intermediate,1,plan+SOCS+FI+output_formation
144,15758248,15.7582,double_intermediate,1,plan+SOCS+FI+output_formation
145,15675636,15.6756,double_intermediate,1,plan+SOCS+FI+output_formation
146,15794013,15.794,double_intermediate,1,plan+SOCS+FI+output_formation
147,15799194,15.7992,double_intermediate,1,plan+SOCS+FI+output_formation
148,15750874,15.7509,double_intermediate,1,plan+SOCS+FI+output_formation
149,15750629,15.7506,double_intermediate,1,plan+SOCS+FI+output_formation
150,15687218,15.6872,double_intermediate,1,plan+SOCS+FI+output_formation
151,15769441,15.7694,double_intermediate,1,plan+SOCS+FI+output_formation
152,15701447,15.7014,double_intermediate,1,plan+SOCS+FI+output_formation
153,15902710,15.9027,double_intermediate,1,plan+SOCS+FI+output_formation
154,15814315,15.8143,double_intermediate,1,plan+SOCS+FI+output_formation
155,15808507,15.8085,double_intermediate,1,plan+SOCS+FI+output_formation
156,15708552,15.7086,double_intermediate,1,plan+SOCS+FI+output_formation
157,15887766,15.8878,double_intermediate,1,plan+SOCS+FI+output_formation
158,15739233,15.7392,double_intermediate,1,plan+SOCS+FI+output_formation
159,15798403,15.7984,double_intermediate,1,plan+SOCS+FI+output_formation
160,15739053,15.7391,double_intermediate,1,plan+SOCS+FI+output_formation
161,15613513,15.6135,double_intermediate,1,plan+SOCS+FI+output_formation
162,15610522,15.6105,double_intermediate,1,plan+SOCS+FI+output_formation
163,15609854,15.6099,double_intermediate,1,plan+SOCS+FI+output_formation
164,15650956,15.651,double_intermediate,1,plan+SOCS+FI+output_formation
165,15620431,15.6204,double_intermediate,1,plan+SOCS+FI+output_formation
166,15695480,15.6955,double_intermediate,1,plan+SOCS+FI+output_formation
167,15674164,15.6742,double_intermediate,1,plan+SOCS+FI+output_formation
168,15639271,15.6393,double_intermediate,1,plan+SOCS+FI+output_formation
169,15667223,15.6672,double_intermediate,1,plan+SOCS+FI+output_formation
170,15652684,15.6527,double_intermediate,1,plan+SOCS+FI+output_formation
171,15812557,15.8126,double_intermediate,1,plan+SOCS+FI+output_formation
172,15761210,15.7612,double_intermediate,1,plan+SOCS+FI+output_formation
173,15736700,15.7367,double_intermediate,1,plan+SOCS+FI+output_formation
174,17952460,17.9525,double_intermediate,1,plan+SOCS+FI+output_formation
175,16894178,16.8942,double_intermediate,1,plan+SOCS+FI+output_formation
176,15802350,15.8024,double_intermediate,1,plan+SOCS+FI+output_formation
177,15788614,15.7886,double_intermediate,1,plan+SOCS+FI+output_formation
178,15813456,15.8135,double_intermediate,1,plan+SOCS+FI+output_formation
179,15708438,15.7084,double_intermediate,1,plan+SOCS+FI+output_formation
180,15963376,15.9634,double_intermediate,1,plan+SOCS+FI+output_formation
181,15623280,15.6233,double_intermediate,1,plan+SOCS+FI+output_formation
182,15632997,15.633,double_intermediate,1,plan+SOCS+FI+output_formation
183,15602164,15.6022,double_intermediate,1,plan+SOCS+FI+output_formation
184,15985225,15.9852,double_intermediate,1,plan+SOCS+FI+output_formation
185,15914874,15.9149,double_intermediate,1,plan+SOCS+FI+output_formation
186,15832960,15.833,double_intermediate,1,plan+SOCS+FI+output_formation
