iteration,latency_ns,latency_ms,measurement_type
225,13604541,13.604541,host_observed_busy_poll
226,13599188,13.599188,host_observed_busy_poll
227,13600824,13.600824,host_observed_busy_poll
228,13594302,13.594302,host_observed_busy_poll
229,13619872,13.619872,host_observed_busy_poll
230,13598897,13.598897,host_observed_busy_poll
231,13603080,13.60308,host_observed_busy_poll
232,13598066,13.598066,host_observed_busy_poll
233,13601941,13.601941,host_observed_busy_poll
234,13601780,13.60178,host_observed_busy_poll
235,13602145,13.602145,host_observed_busy_poll
236,13596676,13.596676,host_observed_busy_poll
237,13605522,13.605522,host_observed_busy_poll
238,13602391,13.602391,host_observed_busy_poll
239,13603012,13.603012,host_observed_busy_poll
240,13600435,13.600435,host_observed_busy_poll
241,13604449,13.604449,host_observed_busy_poll
242,13601438,13.601438,host_observed_busy_poll
243,13601776,13.601776,host_observed_busy_poll
244,13599457,13.599457,host_observed_busy_poll
245,13595527,13.595527,host_observed_busy_poll
246,13595610,13.59561,host_observed_busy_poll
247,13604362,13.604362,host_observed_busy_poll
248,13601147,13.601147,host_observed_busy_poll
249,13597988,13.597988,host_observed_busy_poll
250,13602783,13.602783,host_observed_busy_poll
251,13622245,13.622245,host_observed_busy_poll
252,13603668,13.603668,host_observed_busy_poll
253,13593293,13.593293,host_observed_busy_poll
254,13596094,13.596094,host_observed_busy_poll
255,13596273,13.596273,host_observed_busy_poll
256,13599615,13.599615,host_observed_busy_poll
257,13601978,13.601978,host_observed_busy_poll
258,13603444,13.603444,host_observed_busy_poll
259,13608646,13.608646,host_observed_busy_poll
260,13603423,13.603423,host_observed_busy_poll
261,13597326,13.597326,host_observed_busy_poll
262,13616591,13.616591,host_observed_busy_poll
263,13601751,13.601751,host_observed_busy_poll
264,13601873,13.601873,host_observed_busy_poll
265,13608894,13.608894,host_observed_busy_poll
266,13597853,13.597853,host_observed_busy_poll
267,13596961,13.596961,host_observed_busy_poll
268,13615629,13.615629,host_observed_busy_poll
269,13595202,13.595202,host_observed_busy_poll
270,13591853,13.591853,host_observed_busy_poll
271,13603261,13.603261,host_observed_busy_poll
272,13602844,13.602844,host_observed_busy_poll
273,13600940,13.60094,host_observed_busy_poll
274,13604357,13.604357,host_observed_busy_poll
275,13603904,13.603904,host_observed_busy_poll
276,13599183,13.599183,host_observed_busy_poll
277,13599698,13.599698,host_observed_busy_poll
278,13609213,13.609213,host_observed_busy_poll
279,13603172,13.603172,host_observed_busy_poll
280,13607662,13.607662,host_observed_busy_poll
281,13598353,13.598353,host_observed_busy_poll
282,13608981,13.608981,host_observed_busy_poll
283,13596169,13.596169,host_observed_busy_poll
284,13600524,13.600524,host_observed_busy_poll
285,13599394,13.599394,host_observed_busy_poll
286,13599396,13.599396,host_observed_busy_poll
287,13602452,13.602452,host_observed_busy_poll
288,13598880,13.59888,host_observed_busy_poll
289,13596833,13.596833,host_observed_busy_poll
